CHEMBL ID,SMILES
CHEMBL1091034,CS(=O)(=O)c1cccc(-c2ccc(CN(Cc3ccc(F)cc3Cl)S(=O)(=O)c3ccccc3)cc2)c1
CHEMBL1093840,CS(=O)(=O)c1cccc(-c2ccc(CN(Cc3c(F)cccc3Cl)S(=O)(=O)C3CC3)cc2)c1
CHEMBL202902,CN(c1ccccc1)S(=O)(=O)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
CHEMBL203606,CC(C)COC(=O)N(C)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
CHEMBL205937,O=S(=O)(c1ccccc1)N1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21
CHEMBL206445,CN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1cccc(S(N)(=O)=O)c1
CHEMBL206626,CN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1cccc(C#N)c1
CHEMBL206674,CN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1cccc(-c2ccccc2)c1
CHEMBL206738,O=S(=O)(c1ccccc1)N(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)C1CCCC1
CHEMBL215904,CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)C(C)(C(=O)OC)c1ccccc1
CHEMBL242842,COc1cc(F)ccc1C1SC(c2ccc(F)cc2)=NN1C(=O)c1c(F)cc(F)cc1F
CHEMBL3360960,CS(=O)(=O)c1cccc(-c2ccc(-c3cc(C(F)(F)F)c(C#N)c(=O)n3Cc3ccc(F)cc3F)s2)c1
CHEMBL3360961,N#Cc1c(C(F)(F)F)cc(-c2ccc(Oc3ccccc3)cc2)n(Cc2ccc(F)cc2F)c1=O
CHEMBL3360963,CS(=O)(=O)c1cccc(-c2ccc(-c3cc(C(F)(F)F)nn3Cc3ccc(F)cc3F)s2)c1
CHEMBL3360968,COC(=O)c1cc(-c2ccc(-c3cccc(S(C)(=O)=O)c3)s2)n(-c2ccccc2Cl)n1
CHEMBL3360970,CS(=O)(=O)c1cccc(-c2ccc(-n3cc(C(F)(F)F)nc3-c3ccccc3Cl)cc2)c1
CHEMBL3360974,CC(C)(O)c1cn(-c2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)c(Cc2ccccc2Cl)n1
CHEMBL379225,CN(C(=O)c1ccccc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
CHEMBL380612,O=S(=O)(c1ccccc1)N1CCCCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21
CHEMBL380851,CC(C)CN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1cccs1
CHEMBL381478,O=S(=O)(c1ccccc1)N1CCCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21
CHEMBL381570,O=S(=O)(c1ccccc1)N1CCOc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21
CHEMBL383944,CCN(Cc1nc(-c2cccc(C(F)(F)F)c2)oc1C)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1Cl
