assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,EC50,nM,125.0,EC50,nM,125.0,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,RE,,1.0,RE,,1.0,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,EC50,nM,190.0,EC50,nM,190.0,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,RE,,1.7,RE,,1.7,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,EC50,nM,85.0,EC50,nM,85.0,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,RE,,0.7,RE,,0.7,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,2002
Effective concentration in LXR alpha-Gal4 receptor gene assay,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,EC50,nM,650.0,EC50,nM,650.0,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in LXR alpha-Gal4 receptor gene assay",NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,CHEMBL1135404,=,=,RE,,0.3,RE,,0.3,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,2002
Ligand-dependent recruitment of steroid receptor co-activator 1 (SRC1) to Liver X receptor-alpha,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,CHEMBL1135404,=,=,EC50,nM,190.0,EC50,nM,190.0,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,2002
"Relative efficacy compared to 24(S),25-epoxy cholesterol in Liver X receptor-alpha ligand-sensing assay",COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,CHEMBL1135404,=,=,RE,,0.9,RE,,0.9,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,2002
